"icao24,""callsign"",""origin_country"",""time_position"",""last_contact"",""Longitude"",""Latitude"",""baro_altitude"",""on_ground"",""velocity"",""true_track"",""vertical_rate"",""sensors"",""geo_altitude"",""squawk"",""spi"",""position_source"""

"a46345,""FFT2130 "",""United States"",""1643708413"",""1643708413"",""-98.5408"",""40.196"",""11277.6"",""False"",""264.17"",""76.83"",""0"","""",""11262.36"",""1504"",""False"",""0"",""0"""

"a3a67b,""UPS1018 "",""United States"",""1643708379"",""1643708379"",""-71.0164"",""42.3731"","""",""True"",""13.89"",""315"","""","""","""",""2734"",""False"",""0"",""6"""

"a47656,""N731CM  "",""United States"",""1643708413"",""1643708413"",""-82.817"",""44.0401"",""10965.18"",""False"",""191.48"",""279.59"",""0"","""",""10850.88"",""7426"",""False"",""0"",""0"""

"c02ee7,""ACA093  "",""Canada"",""1643708412"",""1643708412"",""-79.7518"",""40.1198"",""11879.58"",""False"",""241.69"",""8.2"",""0"","""",""11849.1"",""5301"",""False"",""0"",""6"""

"aba1a0,""DAL1602 "",""United States"",""1643708412"",""1643708413"",""-93.9158"",""44.8528"",""11887.2"",""False"",""256.37"",""105.6"",""0"","""",""11666.22"",""3510"",""False"",""0"",""1"""

"c01040,""ACA43   "",""Canada"",""1643708413"",""1643708413"",""-78.9935"",""44.7339"",""7406.64"",""False"",""224.17"",""185.13"",""-9.43"","""",""7315.2"",""1353"",""False"",""0"",""6"""

"a4d8a5,""CTL18   "",""United States"",""1643708357"",""1643708357"",""-94.139"",""39.0399"",""2194.56"",""False"",""106.08"",""98.37"",""-1.3"","""",""2133.6"",""4763"",""False"",""0"",""0"""

"a94c7b,""DAL839  "",""United States"",""1643708412"",""1643708412"",""-86.6768"",""32.4057"",""12496.8"",""False"",""261.86"",""120.85"",""0"","""",""12656.82"",""6613"",""False"",""0"",""5"""

"a03235,""AAL976  "",""United States"",""1643708413"",""1643708413"",""-76.6553"",""41.3857"",""10683.24"",""False"",""248.68"",""98.57"",""0"","""",""10568.94"",""1011"",""False"",""0"",""1"""

"a3ee0b,""UPS400  "",""United States"",""1643708412"",""1643708412"",""-84.3308"",""35.8654"",""10066.02"",""False"",""243.67"",""156.09"",""0"","""",""10165.08"",""6756"",""False"",""0"",""6"""

"a08bdd,""UPS1488 "",""United States"",""1643708413"",""1643708413"",""-85.1735"",""42.167"",""6675.12"",""False"",""248.41"",""93.44"",""-17.56"","""",""6705.6"",""0212"",""False"",""0"",""6"""

