id,Name,description,iconCat
"689",Darßer Ort,Seenotrettungskreuzer NIS RANDERS<br>Liegeplatz: Nothafen Darßer Ort<br>18375 Darßer Ort,
"710",Prerow/Wieck,Seenotrettungsboot PUG<br>Liegeplatz: Wasserwanderrastplatz Wieck am Darß<br>18375 Prerow/Wieck,
"692",Zingst,Seenotrettungsboot ZANDER<br>Stationsgebäude: Müggenburger Weg/Ecke Hägerende<br>18374 Zingst,
"699",Vitte/Hiddensee,"Seenotrettungsboot NAUSIKAA<br>Liegeplatz: Hafen-Nordseite, Achtern Diek<br>18565 Vitte/Hiddensee",
"672",Breege,Seenotrettungsboot MANFRED HESSDÖRFER<br>Liegeplatz: Wasserwanderrastplatz<br>18556 Breege,
"681",Glowe,"Seenotrettungsboot KURT HOFFMANN<br>Liegeplatz: Wasserwanderrastplatz am Königshorn, Ponton an der Südmole<br>18551 Glowe",
"706",Sassnitz,"Seenotrettungskreuzer HARRO KOEBKE<br>Liegeplatz: Stadthafen, Westmole, Zufahrt Straße der Jugend<br>18546 Sassnitz",
"721",Lauterbach,"Seenotrettungsboot CASPER OTTEN<br>Liegeplatz: Kommunalhafen, Fischerbrücke<br>18581 Lauterbach",
"703",Stralsund,"Seenotrettungsboot HERTHA JEEP<br>Liegeplatz: Stadthafen, Hafenamt/Lotsenturm<br>18437 Stralsund",
"684",Greifswalder Oie,Greifswalder Oie<br>Seenotrettungskreuzer BERTHOLD BEITZ<br>Liegeplatz: Nothafen Greifswalder Oie<br>17440 Greifswalder Oie,
"683",Freest,"Seenotrettungsboot HEINZ ORTH<br>Liegeplatz: Fischereihafen, Nordmole<br>17440 Freest",
"686",Zinnowitz,Seenotrettungsboot HECHT und OTTO BEHR<br>Stationsgebäude: Dünenstraße/Ecke Neue Strandstraße<br>17454 Zinnowitz,
"700",Ueckermünde,Seenotrettungsboote EVA AHRENS-THIES und GERHARD TEN DOORNKAAT<br>Liegeplatz: Am Kamigkrug<br>17373 Ueckermünde,
"676",Borkum,"Seenotrettungskreuzer HAMBURG<br>Liegeplatz: Schutzhafen Borkum, Brücke 2<br>26757 Borkum",
"445",SEENOTLEITUNG BREMEN,(MRCC)<br><br>Werderstraße 2<br>28199 Bremen,iconHq
